TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,is_large_transaction,log_transaction_amount,transaction_hour,transaction_day_of_week,odd_hour_transaction,user_transaction_count,user_avg_transaction_amount,deviation_from_user_avg,user_primary_location,is_unusual_location
TX000001,AC00128,14.09,2023-04-11 16:29:00,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,04/11/2024 08:08,0,2.7140322727797574,16,1,0,6,304.55,-290.46000000000004,Chicago,1
TX000002,AC00455,376.24,2023-06-27 16:44:00,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,04/11/2024 08:09,0,5.932881589675684,16,1,0,7,304.6228571428572,71.61714285714282,Baltimore,1
TX000003,AC00019,126.29,2023-07-10 18:16:00,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,04/11/2024 08:07,0,4.846467947882343,18,0,0,4,237.0475,-110.75750000000001,Louisville,1
TX000004,AC00070,184.5,2023-05-05 16:32:00,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,04/11/2024 08:09,0,5.22305488204749,16,4,0,7,249.95428571428573,-65.45428571428573,Charlotte,1
TX000005,AC00411,13.45,2023-10-16 17:51:00,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,04/11/2024 08:06,0,2.670694414558441,17,0,0,6,280.7966666666667,-267.3466666666667,Atlanta,0
TX000006,AC00393,92.15,2023-04-03 17:15:00,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,04/11/2024 08:06,0,4.5342110970475975,17,0,0,7,217.35285714285715,-125.20285714285714,Boston,1
TX000007,AC00199,7.08,2023-02-15 16:36:00,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,04/11/2024 08:10,0,2.089391872533004,16,2,0,1,7.08,0.0,Seattle,0
TX000008,AC00069,171.42,2023-05-08 17:47:00,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,04/11/2024 08:10,0,5.1499333607817785,17,0,0,7,231.08285714285714,-59.66285714285715,Dallas,1
TX000009,AC00135,106.23,2023-03-21 16:59:00,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,04/11/2024 08:11,0,4.674976060232054,16,1,0,2,72.945,33.28500000000001,Detroit,0
TX000010,AC00385,815.96,2023-03-31 16:06:00,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,04/11/2024 08:06,1,6.705590134053119,16,4,0,6,451.60999999999996,364.3500000000001,Chicago,1
TX000011,AC00150,17.78,2023-03-14 16:46:00,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,04/11/2024 08:06,0,2.932792473780117,16,1,0,6,333.00333333333333,-315.22333333333336,Albuquerque,0
